Feature,ANOVA F-value,ANOVA p-value,Mutual Information
RPL13,78.0473723465655,2.6609163627848467e-23,0.4105859819389013
FAM107B,77.96634602947225,2.763248757365232e-23,0.4820455363841647
THOP1,77.52744206981089,3.391197998233093e-23,0.41461144923046933
SERBP1,77.22407634761589,3.908226296561672e-23,0.42167903595540834
IGHG4,76.96661202678858,4.4094334743525426e-23,0.4894691701868381
TPT1,76.95273753767299,4.438225721696406e-23,0.4107097953525276
CRISP3,76.90388060205358,4.541140702338083e-23,0.4841653034957909
NNMT,76.66283741425768,5.0854745587113535e-23,0.4529479578529363
IGHV4-28,76.47687445459225,5.550333731672247e-23,0.3724922422043657
TOR1B,75.57405116940255,8.500434658665453e-23,0.4694938162084703
ILKAP,74.71785728995755,1.2766755018457038e-22,0.38150079072297705
DDX46,74.48002961197516,1.4299942374376422e-22,0.5127771679927835
BGN,72.80186391183285,3.200623536187342e-22,0.46188958235508304
ICAM1,72.55712808219842,3.6025545905121615e-22,0.47056186145980305
MMP8,72.42220981806219,3.8456649557927784e-22,0.4675108422187837
MX1,71.5220412596214,5.9551705025063465e-22,0.44118149578250265
ARHGAP25,70.43507515206109,1.0136044046323148e-21,0.41357676079802963
MMP9,69.91922787192487,1.3065273313349246e-21,0.42281657752369894
LCN2,69.90161487361921,1.3179232883305891e-21,0.43833757946093743
SH3BGRL,69.7148850125007,1.4451268290804163e-21,0.3682804370594961
APOL2,69.02882685036873,2.029523904931372e-21,0.35395511335090823
RPS28,68.8601171804089,2.206867981007688e-21,0.336527966746732
NT5E,67.83154616226142,3.686058757436331e-21,0.4537374551163027
MCM3,67.60876345326419,4.121342090112472e-21,0.4615629199035385
CPPED1,67.27049032202694,4.884247869878708e-21,0.3067704645596778
RPL9,66.98789055612687,5.63065522484252e-21,0.3092021988741631
CSNK2A2,66.62367716779436,6.766242206040012e-21,0.35859077749743373
FBLN1,66.27440048790149,8.073595149269367e-21,0.3585009280419371
MAN2C1,66.15727902743475,8.567175283851972e-21,0.3833782448948422
COA3,66.03387715853138,9.120414814138127e-21,0.26745884928808183
BCHE,65.5184381019957,1.1852269494955823e-20,0.43565842407023303
UBE2A,65.16347117401907,1.4204264845636026e-20,0.4070421918072975
CYBA,65.01042895719957,1.5359563301073483e-20,0.4925446038839121
SEC61B,64.9506852895977,1.5836040670983313e-20,0.35760462948840455
RCSD1,64.93052142431506,1.6000218018416324e-20,0.41351162370118866
HCLS1,64.80510930913711,1.7060854415613936e-20,0.41061761510204264
NCCRP1,64.5920651055771,1.9028900760102626e-20,0.3520366013177434
PTGFRN,64.34634040227363,2.158710278011609e-20,0.38128599505964966
SRP19,64.14303498765747,2.396598112905699e-20,0.3875656811557402
DOCK2,63.52159525901956,3.3022157698129775e-20,0.4021995644185199
SERPINB10,62.60184988545055,5.3217164191024974e-20,0.44547545680425427
TGM3,62.424339279302366,5.837382933137948e-20,0.3443384251707542
